Ciment (%),Argile (%),Alumine (%),Silice (%),Chamotte (%),Conductivite thermique (W/m.K),Resistance Mecanique (MPa)
7.38,8.55,42.61,25.03,16.44,0.2,24.4
7.27,7.61,42.51,26.04,16.57,0.2,24.4
5.47,8.12,42.79,26.62,17.01,0.2,24.4
5.07,7.65,43.37,27.27,16.63,0.2,24.4
5.57,7.94,45.0,22.6,16.77,0.2,24.4
5.67,7.89,44.58,25.58,16.28,0.2,24.4
7.36,8.44,42.63,24.21,17.37,0.2,24.4
5.2,8.48,44.41,24.44,17.47,0.2,24.4
6.66,7.58,43.81,25.42,16.53,0.2,24.4
6.37,7.68,44.28,24.3,17.37,0.2,24.4
6.5,10.0,44.28,22.88,16.31,0.21,25.35
5.95,9.06,42.96,24.66,17.38,0.21,25.35
7.09,9.83,43.22,23.18,16.67,0.21,25.35
5.85,8.92,44.46,24.25,16.52,0.21,25.35
7.16,9.6,42.78,23.38,17.08,0.21,25.35
5.77,9.37,43.16,25.33,16.37,0.21,25.35
6.1,8.82,44.11,23.59,17.39,0.21,25.35
6.32,9.38,42.71,24.67,16.93,0.21,25.35
5.7,9.69,43.82,23.67,17.12,0.21,25.35
6.32,10.0,42.76,23.81,16.99,0.21,25.35
6.91,9.52,43.45,23.38,16.75,0.21,25.35
5.39,9.55,43.79,24.75,16.52,0.21,25.35
5.54,9.54,44.95,22.8,17.17,0.21,25.35
7.1,10.0,42.84,23.13,16.85,0.21,25.35
6.76,8.84,43.83,23.59,16.97,0.21,25.35
5.51,9.09,43.67,25.3,16.42,0.21,25.35
7.48,9.08,42.89,24.27,16.28,0.21,25.35
6.56,8.93,42.68,24.84,16.99,0.21,25.35
5.19,8.87,42.69,26.69,16.55,0.21,25.35
5.13,9.69,43.44,24.3,17.44,0.21,25.35
6.83,9.54,43.66,22.64,17.34,0.21,25.35
6.64,8.96,42.9,24.86,16.63,0.21,25.35
6.45,9.53,42.52,24.42,17.07,0.21,25.35
5.49,9.0,42.85,26.04,16.62,0.21,25.35
5.39,9.7,42.68,25.28,16.95,0.21,25.35
5.51,9.94,43.87,24.09,16.59,0.21,25.35
5.7,8.94,43.52,25.42,16.42,0.21,25.35
6.25,9.24,43.51,24.18,16.83,0.21,25.35
6.01,9.63,42.73,24.72,16.91,0.21,25.35
6.03,9.3,42.67,24.9,17.11,0.21,25.35
5.74,8.86,44.7,23.64,17.06,0.21,25.35
5.65,9.68,44.49,23.78,16.39,0.21,25.35
5.5,10.0,43.96,23.84,16.34,0.21,25.35
5.92,9.54,43.61,23.74,17.2,0.21,25.35
6.22,8.86,43.06,24.68,17.17,0.21,25.35
5.46,9.84,43.53,24.17,16.99,0.21,25.35
6.53,9.04,44.3,22.99,17.15,0.21,25.35
7.98,9.61,42.69,22.91,16.82,0.22,25.5
7.51,8.86,42.91,23.41,17.31,0.22,25.5
8.66,8.88,43.34,22.58,16.54,0.22,25.5
8.65,8.97,42.75,22.66,16.98,0.22,25.5
8.89,8.89,42.53,23.16,16.52,0.22,25.5
7.95,9.43,43.06,23.24,16.31,0.22,25.5
7.74,9.01,43.39,23.25,16.62,0.22,25.5
8.26,9.93,42.79,22.59,16.43,0.22,25.5
7.7,8.87,42.8,23.49,17.14,0.22,25.5
8.56,9.23,42.73,22.61,16.88,0.22,25.5
7.53,10.0,42.65,23.3,16.5,0.22,25.5
5.23,8.63,44.4,26.35,15.39,0.22,24.64
7.45,8.35,45.0,23.29,15.74,0.22,24.64
6.34,7.9,42.66,27.06,16.05,0.22,24.64
7.11,8.63,43.18,24.91,16.16,0.22,24.64
6.75,7.96,43.17,26.54,15.59,0.22,24.64
6.57,7.76,43.75,26.22,15.7,0.22,24.64
5.78,8.56,43.76,26.54,15.35,0.22,24.64
6.91,7.71,42.59,26.91,15.88,0.22,24.64
7.47,8.62,43.7,24.24,15.96,0.22,24.64
7.1,8.13,44.3,24.73,15.75,0.22,24.64
5.45,7.69,43.3,27.43,16.12,0.22,24.64
6.53,7.66,45.0,24.45,15.8,0.22,24.64
7.23,8.33,44.02,24.6,15.82,0.22,24.64
7.16,8.11,43.0,26.73,15.0,0.22,24.64
5.76,7.67,43.64,26.8,16.14,0.22,24.64
5.32,7.62,45.0,25.05,16.0,0.22,24.64
5.9,7.98,44.31,25.71,16.1,0.22,24.64
6.11,8.26,45.0,24.27,15.44,0.22,24.64
5.96,7.93,43.94,26.0,16.16,0.22,24.64
6.88,7.87,45.0,22.58,15.85,0.22,24.64
5.09,8.08,44.1,27.25,15.48,0.22,24.64
6.51,8.12,42.81,26.82,15.74,0.22,24.64
6.67,7.76,45.0,24.53,15.53,0.22,24.64
5.67,8.47,44.19,26.66,15.01,0.22,24.64
6.64,8.18,45.0,23.93,15.7,0.22,24.64
5.9,7.62,45.0,24.71,16.23,0.22,24.64
5.47,7.64,45.0,24.58,15.78,0.22,24.64
6.59,7.94,44.49,25.05,15.94,0.22,24.64
6.03,7.57,44.56,25.9,15.94,0.22,24.64
7.33,7.53,45.0,24.17,15.71,0.22,24.64
5.56,8.02,43.48,27.4,15.54,0.22,24.64
6.54,8.59,45.0,23.41,16.24,0.22,24.64
6.78,7.75,44.45,25.37,15.65,0.22,24.64
5.02,8.42,44.64,25.72,16.19,0.22,24.64
7.76,7.91,42.63,24.63,17.07,0.22,24.43
7.71,7.8,43.9,23.48,17.11,0.22,24.43
8.16,7.68,44.44,22.67,17.06,0.22,24.43
8.34,7.69,43.55,23.38,17.04,0.22,24.43
8.26,7.94,42.88,24.02,16.89,0.22,24.43
7.71,7.6,44.96,22.57,17.16,0.22,24.43
8.31,8.47,43.63,23.1,16.49,0.22,24.43
7.74,8.28,44.21,23.49,16.28,0.22,24.43
7.66,8.61,42.79,23.69,17.25,0.22,24.43
9.28,7.55,43.2,23.12,16.84,0.22,24.43
8.66,8.02,43.78,22.66,16.87,0.22,24.43
8.28,8.03,44.35,22.74,16.6,0.22,24.43
9.29,8.34,42.88,22.55,16.95,0.22,24.43
8.9,8.01,43.8,22.74,16.55,0.22,24.43
8.08,8.07,43.49,23.26,17.1,0.22,24.43
8.24,8.63,42.92,23.4,16.81,0.22,24.43
8.98,7.93,42.52,23.72,16.85,0.22,24.43
9.14,7.73,43.48,22.98,16.68,0.22,24.43
10.43,7.7,42.88,22.63,16.36,0.22,24.38
7.18,8.03,43.38,23.72,17.7,0.22,24.3
5.56,8.43,44.95,23.28,17.78,0.22,24.3
5.76,7.86,45.0,23.25,17.83,0.22,24.3
6.76,7.91,43.16,24.45,17.72,0.22,24.3
5.94,7.79,44.08,24.51,17.68,0.22,24.3
6.06,7.97,43.21,24.3,18.46,0.22,24.3
5.77,7.87,42.79,24.83,18.73,0.22,24.3
5.95,7.65,43.03,25.13,18.24,0.22,24.3
6.51,8.45,42.57,24.95,17.52,0.22,24.3
6.8,8.63,42.99,24.01,17.56,0.22,24.3
6.14,7.83,43.19,25.08,17.76,0.22,24.3
6.51,7.64,42.58,24.83,18.44,0.22,24.3
6.45,7.77,43.29,24.88,17.62,0.22,24.3
5.16,8.3,42.53,25.43,18.58,0.22,24.3
6.89,8.25,42.6,24.43,17.83,0.22,24.3
7.47,8.62,43.0,22.73,18.18,0.22,24.3
5.41,7.62,45.0,24.04,17.87,0.22,24.3
6.34,8.63,43.97,23.29,17.76,0.22,24.3
5.9,8.23,44.14,24.14,17.6,0.22,24.3
6.91,7.76,44.52,23.19,17.62,0.22,24.3
5.46,7.79,42.66,26.09,18.0,0.22,24.3
5.02,8.4,43.96,24.69,17.93,0.22,24.3
6.32,8.34,44.08,23.68,17.57,0.22,24.3
6.7,7.56,42.61,24.39,18.74,0.22,24.3
6.49,8.1,43.66,23.41,18.34,0.22,24.3
5.92,8.49,44.54,22.66,18.38,0.22,24.3
5.18,8.43,44.45,23.83,18.11,0.22,24.3
7.45,8.5,42.93,23.56,17.57,0.22,24.3
6.77,8.49,44.05,22.57,18.12,0.22,24.3
6.38,7.79,44.25,23.79,17.8,0.22,24.3
5.77,7.55,44.41,23.92,18.35,0.22,24.3
6.8,8.18,42.77,23.54,18.71,0.22,24.3
5.2,8.08,42.62,25.42,18.67,0.22,24.3
6.55,8.33,43.02,23.61,18.49,0.22,24.3
6.48,8.13,43.22,23.97,18.2,0.22,24.3
6.12,8.09,42.83,24.48,18.48,0.22,24.3
6.63,7.93,44.45,22.73,18.26,0.22,24.3
6.62,7.96,43.89,23.82,17.71,0.22,24.3
6.33,8.75,44.48,22.65,17.79,0.22,24.3
7.46,7.84,43.0,23.35,18.35,0.22,24.3
6.03,8.1,43.46,24.01,18.4,0.22,24.3
6.36,7.59,44.72,23.55,17.78,0.22,24.3
6.59,8.5,43.81,22.6,18.49,0.22,24.3
6.63,7.67,43.41,23.91,18.39,0.22,24.3
6.32,8.41,42.63,24.0,18.63,0.22,24.3
5.96,8.28,42.6,25.58,17.58,0.22,24.3
7.26,7.54,42.64,24.99,17.57,0.22,24.3
7.09,7.98,43.36,23.42,18.14,0.22,24.3
6.76,7.88,43.3,24.47,17.58,0.22,24.3
5.5,7.66,44.49,24.39,17.96,0.22,24.3
6.72,8.42,43.68,23.01,18.17,0.22,24.3
6.52,8.75,43.3,22.86,18.57,0.22,24.3
5.96,9.73,42.95,25.53,15.83,0.23,25.58
5.2,9.13,44.3,25.25,16.12,0.23,25.58
5.95,9.59,44.67,23.89,15.9,0.23,25.58
5.01,9.02,44.17,26.4,15.4,0.23,25.58
5.73,9.12,44.66,25.52,15.0,0.23,25.58
7.29,9.35,42.65,24.87,15.85,0.23,25.58
6.87,9.42,44.3,23.3,16.12,0.23,25.58
6.59,9.16,42.73,26.68,15.0,0.23,25.58
5.0,9.76,43.85,25.89,15.57,0.23,25.58
6.42,9.3,43.67,24.59,16.02,0.23,25.58
7.38,10.0,44.09,22.67,15.8,0.23,25.58
5.74,10.0,42.64,25.72,15.82,0.23,25.58
7.25,9.97,44.14,22.67,15.97,0.23,25.58
5.47,9.2,43.4,26.02,15.91,0.23,25.58
5.83,8.92,45.0,22.82,16.14,0.23,25.58
5.31,8.86,44.14,25.84,15.85,0.23,25.58
7.21,9.42,42.91,25.54,15.0,0.23,25.58
6.77,9.16,43.42,25.39,15.26,0.23,25.58
5.32,10.0,44.5,23.98,15.93,0.23,25.58
5.6,9.33,44.72,24.28,16.07,0.23,25.58
6.85,9.66,45.0,22.6,15.79,0.23,25.58
5.78,9.48,42.6,26.04,16.1,0.23,25.58
6.87,10.0,42.68,24.46,15.76,0.23,25.58
5.83,9.33,43.31,25.38,16.15,0.23,25.58
5.14,8.91,44.96,25.31,15.69,0.23,25.58
6.91,9.18,42.52,25.13,16.24,0.23,25.58
5.93,9.2,44.34,24.77,15.75,0.23,25.58
5.66,8.98,43.28,24.57,17.52,0.23,25.23
5.89,9.54,43.96,22.74,17.86,0.23,25.23
5.62,9.83,43.08,22.95,18.52,0.23,25.23
5.25,9.39,43.44,24.12,17.79,0.23,25.23
5.66,9.58,43.47,23.19,18.1,0.23,25.23
6.33,9.18,42.88,24.09,17.51,0.23,25.23
5.09,9.51,44.91,22.71,17.78,0.23,25.23
6.02,9.35,43.47,23.0,18.15,0.23,25.23
5.6,9.46,42.89,24.23,17.81,0.23,25.23
7.13,8.9,42.93,22.97,18.07,0.23,25.23
5.07,8.98,43.35,24.81,17.8,0.23,25.23
6.77,9.35,42.7,23.33,17.85,0.23,25.23
6.25,9.46,43.03,23.36,17.9,0.23,25.23
5.53,8.85,42.71,24.19,18.72,0.23,25.23
6.81,8.89,42.99,23.59,17.71,0.23,25.23
6.4,9.3,43.49,22.91,17.89,0.23,25.23
5.24,9.7,43.48,23.43,18.15,0.23,25.23
5.74,8.84,44.56,22.63,18.22,0.23,25.23
6.97,8.76,43.31,23.03,17.92,0.23,25.23
5.2,8.92,43.23,23.95,18.7,0.23,25.23
5.46,9.92,42.69,23.68,18.25,0.23,25.23
6.97,9.7,42.66,22.73,17.94,0.23,25.23
5.83,10.0,42.96,22.67,18.22,0.23,25.23
5.46,10.0,42.59,23.66,17.75,0.23,25.23
6.68,9.39,42.81,23.5,17.62,0.23,25.23
5.46,9.06,42.82,24.12,18.54,0.23,25.23
6.82,9.65,43.36,22.66,17.51,0.23,25.23
6.05,8.82,43.29,23.23,18.62,0.23,25.23
5.89,9.07,43.85,23.49,17.7,0.23,25.23
7.17,8.81,42.98,23.41,17.63,0.23,25.23
6.29,9.9,45.0,22.26,16.4,0.24,25.73
6.17,10.0,45.0,21.37,17.1,0.24,25.73
7.02,8.84,45.0,22.22,16.68,0.24,25.73
6.68,9.59,45.0,21.01,17.4,0.24,25.73
6.87,10.0,43.63,21.95,16.76,0.24,25.73
5.73,9.76,45.0,22.37,16.73,0.24,25.73
5.8,10.0,44.35,22.39,17.4,0.24,25.73
6.8,9.1,45.0,21.93,16.65,0.24,25.73
6.12,9.48,45.0,21.26,17.48,0.24,25.73
6.21,9.89,45.0,20.9,16.42,0.24,25.73
7.24,9.03,45.0,21.19,16.59,0.24,25.73
5.47,10.0,45.0,21.15,16.59,0.24,25.73
6.9,9.45,44.74,21.98,16.94,0.24,25.73
6.61,9.04,45.0,21.61,16.75,0.24,25.73
5.55,9.66,45.0,22.11,17.22,0.24,25.73
5.99,9.99,45.0,21.17,16.51,0.24,25.73
6.47,10.0,44.16,22.39,16.95,0.24,25.73
6.29,9.27,45.0,21.89,16.89,0.24,25.73
5.96,9.33,45.0,22.42,16.7,0.24,25.73
5.84,8.69,45.0,22.3,16.45,0.24,24.75
6.16,8.33,45.0,22.2,16.67,0.24,24.75
6.66,8.1,45.0,22.03,17.35,0.24,24.75
7.04,8.72,45.0,21.88,16.8,0.24,24.75
7.47,8.45,45.0,21.05,16.79,0.24,24.75
5.99,8.2,45.0,21.53,17.21,0.24,24.75
6.1,8.39,45.0,21.7,17.39,0.24,24.75
9.76,8.15,43.23,22.91,15.95,0.24,24.68
7.7,7.84,43.79,24.69,15.99,0.24,24.68
8.65,8.14,43.2,24.48,15.53,0.24,24.68
9.97,8.24,43.11,22.91,15.77,0.24,24.68
8.24,7.69,43.67,25.17,15.24,0.24,24.68
8.39,7.99,44.59,23.62,15.41,0.24,24.68
8.63,8.12,42.73,24.27,16.25,0.24,24.68
8.47,8.44,43.57,24.14,15.38,0.24,24.68
9.21,7.9,43.62,23.6,15.66,0.24,24.68
7.7,8.51,43.38,25.39,15.01,0.24,24.68
8.79,7.71,43.43,24.29,15.78,0.24,24.68
9.19,7.67,44.02,24.02,15.09,0.24,24.68
9.93,7.57,42.8,24.31,15.38,0.24,24.68
7.63,7.93,43.75,24.99,15.7,0.24,24.68
10.49,8.18,43.38,23.0,15.0,0.24,24.63
10.06,7.79,42.72,23.57,15.86,0.24,24.63
10.43,8.3,42.79,22.76,15.72,0.24,24.63
12.05,8.48,42.56,22.54,15.0,0.24,24.63
10.2,7.56,42.53,25.0,15.0,0.24,24.63
10.98,7.75,42.93,22.97,15.36,0.24,24.63
5.42,7.59,42.73,25.15,19.12,0.24,24.37
8.84,8.99,42.76,23.56,15.85,0.25,25.75
9.91,9.39,42.66,22.9,15.14,0.25,25.75
8.37,9.02,43.29,23.31,16.01,0.25,25.75
7.53,9.99,43.2,23.53,15.76,0.25,25.75
7.55,8.94,44.0,23.53,15.97,0.25,25.75
9.46,9.4,42.59,23.1,15.45,0.25,25.75
8.37,9.5,42.69,24.09,15.35,0.25,25.75
7.61,9.07,43.83,24.75,15.0,0.25,25.75
7.83,9.64,43.02,23.52,16.0,0.25,25.75
7.53,10.0,43.15,22.74,16.22,0.25,25.75
8.19,8.76,44.13,23.05,15.87,0.25,25.75
8.2,9.19,44.15,22.95,15.51,0.25,25.75
9.13,10.0,42.6,22.78,15.45,0.25,25.75
8.08,8.9,43.01,25.28,15.0,0.25,25.75
7.53,9.09,44.45,22.86,16.06,0.25,25.75
7.73,9.34,43.86,23.09,15.98,0.25,25.75
8.31,8.82,43.05,24.29,15.53,0.25,25.75
9.39,8.89,43.03,23.3,15.4,0.25,25.75
8.92,9.48,43.12,23.28,15.2,0.25,25.75
7.59,9.31,42.79,25.42,15.0,0.25,25.75
10.28,8.91,43.29,22.82,15.0,0.25,25.66
10.64,8.87,42.84,22.8,15.0,0.25,25.66
5.86,9.08,42.62,22.91,19.54,0.25,25.25
5.28,9.29,42.99,22.53,19.92,0.25,25.25
5.49,9.27,42.81,23.03,19.4,0.25,25.25
5.64,9.73,42.61,22.64,19.38,0.25,25.25
5.87,9.31,42.87,23.07,18.88,0.25,25.25
5.74,9.52,42.85,22.79,19.09,0.25,25.25
5.23,10.0,43.12,22.62,18.89,0.25,25.25
6.18,8.99,43.0,22.87,18.95,0.25,25.25
5.76,9.34,42.66,22.85,19.4,0.25,25.25
6.51,8.36,45.0,21.31,16.23,0.25,25.02
5.6,8.55,42.91,23.53,19.4,0.25,24.37
5.78,8.3,42.61,22.67,20.0,0.25,24.37
6.39,7.99,43.32,23.5,18.79,0.25,24.37
5.8,7.76,44.91,22.54,18.99,0.25,24.37
5.68,8.05,42.6,23.52,20.0,0.25,24.37
5.51,7.81,44.8,22.66,19.23,0.25,24.37
6.98,8.02,42.98,22.58,19.44,0.25,24.37
5.84,8.12,42.89,24.11,19.05,0.25,24.37
5.79,8.08,43.31,23.23,19.59,0.25,24.37
6.22,8.2,42.55,24.04,19.0,0.25,24.37
6.44,7.7,43.77,22.76,19.32,0.25,24.37
6.17,7.55,43.16,23.75,19.37,0.25,24.37
5.26,7.57,42.95,23.83,20.0,0.25,24.37
7.36,8.18,42.76,22.93,18.76,0.25,24.37
6.38,8.45,42.86,23.29,19.02,0.25,24.37
6.22,7.89,43.16,22.97,19.76,0.25,24.37
6.65,7.74,43.87,22.83,18.9,0.25,24.37
5.51,8.32,42.85,23.74,19.58,0.25,24.37
5.62,8.04,43.56,23.65,19.13,0.25,24.37
5.07,7.76,43.36,24.3,19.51,0.25,24.37
5.68,8.38,42.62,24.35,18.97,0.25,24.37
6.91,8.42,42.88,22.77,19.03,0.25,24.37
7.84,7.92,42.67,23.52,18.05,0.25,24.29
8.12,7.83,43.72,22.69,17.63,0.25,24.29
7.83,8.17,42.65,23.48,17.87,0.25,24.29
8.26,7.66,43.25,22.85,17.98,0.25,24.29
7.58,7.72,42.85,24.25,17.61,0.25,24.29
7.71,7.84,43.25,23.63,17.57,0.25,24.29
7.62,8.42,42.63,22.82,18.51,0.25,24.29
7.51,8.19,43.74,22.98,17.59,0.25,24.29
8.16,7.87,42.86,23.12,17.99,0.25,24.29
7.63,8.69,42.67,22.63,18.38,0.25,24.29
6.82,9.27,45.0,21.75,15.91,0.26,26.0
7.34,9.02,45.0,21.34,15.79,0.26,26.0
6.52,8.83,45.0,21.55,15.93,0.26,26.0
8.67,8.1,43.5,22.29,17.43,0.26,24.76
8.82,8.12,43.42,22.45,17.18,0.26,24.76
9.94,8.24,43.92,20.63,17.27,0.26,24.76
9.61,8.15,43.22,22.32,16.7,0.26,24.76
9.24,7.81,44.69,21.23,17.03,0.26,24.76
9.47,8.42,43.47,21.88,16.76,0.26,24.76
10.0,8.28,44.51,20.05,17.17,0.26,24.76
9.73,8.08,42.85,22.38,16.96,0.26,24.76
9.42,8.06,44.27,21.95,16.29,0.26,24.76
8.67,7.91,45.0,20.85,17.26,0.26,24.76
9.83,7.93,45.0,20.79,16.38,0.26,24.76
9.19,8.74,43.14,22.05,16.88,0.26,24.76
9.58,8.37,43.89,20.82,17.35,0.26,24.76
9.68,8.1,44.26,21.63,16.34,0.26,24.76
9.3,8.39,44.39,20.91,17.01,0.26,24.76
9.64,7.63,44.16,21.42,17.15,0.26,24.76
7.06,7.17,44.58,23.96,17.23,0.26,23.39
6.38,6.83,44.98,25.08,16.73,0.26,23.39
5.72,6.96,43.88,26.14,17.3,0.26,23.39
6.46,7.11,42.64,26.86,16.94,0.26,23.39
7.48,6.53,43.15,26.08,16.76,0.26,23.39
5.77,6.33,45.0,23.58,16.57,0.26,23.39
6.09,7.02,45.0,24.47,17.19,0.26,23.39
5.71,6.34,45.0,23.15,16.54,0.26,23.39
6.31,6.6,42.97,27.46,16.66,0.26,23.39
7.26,6.96,43.39,25.05,17.34,0.26,23.39
6.67,7.36,45.0,23.94,16.77,0.26,23.39
5.27,7.24,44.13,26.93,16.44,0.26,23.39
6.47,7.09,43.27,25.86,17.31,0.26,23.39
6.77,6.86,42.62,27.29,16.46,0.26,23.39
6.22,7.08,43.86,26.43,16.41,0.26,23.39
6.51,7.04,43.09,26.43,16.92,0.26,23.39
7.33,6.63,43.88,25.68,16.49,0.26,23.39
6.33,6.9,43.94,25.63,17.2,0.26,23.39
5.63,6.47,44.16,26.96,16.78,0.26,23.39
6.89,6.52,43.18,26.12,17.29,0.26,23.39
6.52,6.74,42.99,27.21,16.54,0.26,23.39
7.06,6.31,44.99,24.64,17.0,0.26,23.39
6.23,6.47,45.0,22.73,16.71,0.26,23.39
6.93,6.98,45.0,23.61,17.24,0.26,23.39
5.46,7.42,45.0,24.77,17.31,0.26,23.39
6.6,6.31,45.0,23.34,17.4,0.26,23.39
6.56,7.24,42.94,26.12,17.13,0.26,23.39
5.33,6.38,44.93,26.21,17.15,0.26,23.39
6.69,7.21,43.55,26.18,16.37,0.26,23.39
5.33,6.69,44.01,27.14,16.83,0.26,23.39
5.44,7.46,42.6,27.48,17.01,0.26,23.39
5.92,7.01,43.42,27.05,16.59,0.26,23.39
6.68,6.54,44.95,24.65,17.18,0.26,23.39
6.11,7.14,44.94,24.35,17.46,0.26,23.39
6.25,6.96,44.4,25.84,16.55,0.26,23.39
6.47,7.06,44.82,24.32,17.33,0.26,23.39
6.85,6.49,45.0,23.43,16.86,0.26,23.39
5.91,7.38,42.91,26.58,17.21,0.26,23.39
7.22,7.19,44.11,24.4,17.07,0.26,23.39
6.03,6.42,43.56,26.6,17.39,0.26,23.39
5.85,6.93,45.0,24.87,17.19,0.26,23.39
7.16,6.99,43.39,25.89,16.56,0.26,23.39
7.1,6.44,43.48,25.7,17.27,0.26,23.39
7.14,6.88,42.56,26.94,16.48,0.26,23.39
6.21,7.38,44.05,24.96,17.4,0.26,23.39
6.52,7.33,42.71,27.14,16.3,0.26,23.39
6.57,7.23,43.99,25.39,16.83,0.26,23.39
5.87,6.92,45.0,23.53,16.87,0.26,23.39
5.6,6.51,45.0,23.51,16.96,0.26,23.39
6.34,6.7,44.61,25.5,16.85,0.26,23.39
6.79,6.61,43.34,26.77,16.49,0.26,23.39
7.09,6.97,43.56,25.57,16.8,0.26,23.39
6.96,7.03,44.33,24.45,17.22,0.26,23.39
9.96,9.51,42.79,21.05,16.68,0.27,25.86
7.88,9.94,43.15,21.68,17.35,0.27,25.86
9.42,9.48,42.95,21.49,16.65,0.27,25.86
8.62,9.12,43.97,21.28,17.01,0.27,25.86
8.56,9.34,42.77,22.21,17.12,0.27,25.86
9.5,9.53,43.52,20.64,16.81,0.27,25.86
9.85,8.82,44.12,20.9,16.31,0.27,25.86
8.21,9.26,44.32,21.16,17.04,0.27,25.86
9.59,8.8,43.52,21.74,16.36,0.27,25.86
8.01,10.0,43.61,21.54,16.66,0.27,25.86
7.55,9.61,43.82,22.35,16.66,0.27,25.86
9.1,9.61,42.82,21.6,16.88,0.27,25.86
9.22,8.95,44.04,21.43,16.36,0.27,25.86
7.96,9.03,43.51,22.42,17.09,0.27,25.86
9.91,8.87,43.05,21.19,16.98,0.27,25.86
7.74,10.0,43.44,21.4,17.28,0.27,25.86
7.9,10.0,43.67,21.65,16.71,0.27,25.86
8.93,9.74,43.56,21.41,16.36,0.27,25.86
8.43,9.41,44.55,20.63,16.98,0.27,25.86
8.54,9.34,42.89,21.9,17.32,0.27,25.86
8.49,9.69,43.07,21.81,16.94,0.27,25.86
10.75,8.25,43.03,20.95,17.02,0.27,24.71
11.14,8.62,42.54,20.3,17.39,0.27,24.71
11.17,8.45,42.66,20.43,17.29,0.27,24.71
10.83,7.67,42.66,22.46,16.37,0.27,24.71
12.02,8.32,42.54,20.83,16.29,0.27,24.71
12.06,8.69,42.72,20.01,16.53,0.27,24.71
11.27,8.06,42.9,20.48,17.29,0.27,24.71
11.3,7.59,44.21,20.03,16.87,0.27,24.71
10.57,8.46,43.52,20.22,17.22,0.27,24.71
7.43,8.62,44.67,20.84,18.44,0.27,24.62
6.88,8.64,44.07,21.86,18.56,0.27,24.62
7.48,7.98,43.61,22.21,18.71,0.27,24.62
5.76,7.78,45.0,21.59,17.79,0.27,24.62
5.44,8.26,45.0,21.67,18.45,0.27,24.62
6.4,8.0,44.72,22.16,18.72,0.27,24.62
6.2,7.78,45.0,22.42,17.71,0.27,24.62
5.78,7.76,45.0,22.33,17.72,0.27,24.62
6.84,7.77,44.55,22.15,18.69,0.27,24.62
6.52,7.58,45.0,22.1,18.38,0.27,24.62
6.56,8.41,44.19,22.41,18.42,0.27,24.62
6.8,8.72,45.0,21.29,17.95,0.27,24.62
7.07,8.54,45.0,20.65,18.61,0.27,24.62
7.42,7.94,44.37,21.8,18.47,0.27,24.62
6.19,8.69,45.0,21.79,17.86,0.27,24.62
7.29,8.19,44.6,22.16,17.76,0.27,24.62
6.34,8.69,44.76,21.9,18.32,0.27,24.62
6.26,7.54,45.0,21.51,17.65,0.27,24.62
8.99,10.0,44.18,21.02,15.64,0.28,26.15
9.7,9.42,43.39,21.82,15.68,0.28,26.15
9.19,9.04,44.45,22.01,15.31,0.28,26.15
8.81,9.74,43.54,21.89,16.03,0.28,26.15
